"symbol","date","open","high","low","close","volume","adjusted"
"PFE",2020-09-04,34.620495,34.753319,34.032257,34.497154,26872300,34.145992
"PFE",2020-09-08,34.658443,34.734344,33.851994,34.089184,26736800,33.742176
"PFE",2020-09-09,34.43074,34.772297,34.288425,34.326374,27490500,33.976952
"PFE",2020-09-10,34.345352,34.459202,33.757114,33.823528,21650700,33.479221
"PFE",2020-09-11,33.90892,34.25996,33.633778,34.222012,24109300,33.87365
"PFE",2020-09-14,34.497154,35.616699,34.421253,35.113853,29565500,34.756413
"PFE",2020-09-15,35.28463,35.436432,34.924099,35.066414,22003700,34.709457
"PFE",2020-09-16,35.370018,35.398483,34.838711,34.895638,22208400,34.540421
"PFE",2020-09-17,34.895638,35.075901,34.677418,34.933586,17894400,34.57798
"PFE",2020-09-18,34.895638,35.170776,34.696396,34.753319,31694600,34.399548
"PFE",2020-09-21,34.506641,34.611004,33.567364,34.174572,26609000,33.826694
"PFE",2020-09-22,33.97533,34.468689,33.90892,34.392788,22727300,34.042686
"PFE",2020-09-23,34.47818,34.516129,34.127136,34.155598,23102500,33.807911
"PFE",2020-09-24,34.108158,34.19355,33.719166,33.927895,20859900,33.582527
"PFE",2020-09-25,33.719166,34.297913,33.700191,34.203037,14365600,33.85487
"PFE",2020-09-28,34.3074,34.705883,34.3074,34.525616,15044300,34.174164
"PFE",2020-09-29,34.563568,34.667931,34.184059,34.316887,13512500,33.96756
"PFE",2020-09-30,34.411766,35.066414,34.392788,34.819733,22623700,34.465286
"PFE",2020-10-01,35.018974,35.189754,34.3074,34.506641,22520400,34.155384
"PFE",2020-10-02,34.212524,34.781784,34.184059,34.516129,21461800,34.164772
"PFE",2020-10-05,34.658443,34.990513,34.47818,34.867172,19400000,34.512241
"PFE",2020-10-06,35.104362,35.132828,34.240986,34.316887,25233400,33.96756
"PFE",2020-10-07,34.402279,34.71537,34.184059,34.601517,22160000,34.24929
"PFE",2020-10-08,34.724857,35.275143,34.639469,35,17857400,34.643719
"PFE",2020-10-09,34.943073,35.218216,34.71537,34.905125,23667500,34.549809
"PFE",2020-10-12,34.819733,35.275143,34.601517,34.933586,19413800,34.57798
"PFE",2020-10-13,34.791271,35.227703,34.753319,35.009487,21543200,34.653111
"PFE",2020-10-14,35.113853,35.388996,34.696396,34.971539,22124600,34.615547
"PFE",2020-10-15,34.753319,34.857685,34.544594,34.677418,16089200,34.324421
"PFE",2020-10-16,35.170776,36.166985,35.123341,36.005692,42993500,35.639172
"PFE",2020-10-19,36.451614,36.859581,35.711575,35.863377,31931400,35.498306
"PFE",2020-10-20,35.92979,35.948765,35.436432,35.56926,22384900,35.207184
"PFE",2020-10-21,35.436432,35.531311,35.161289,35.180267,18984900,34.822151
"PFE",2020-10-22,35.180267,35.645161,35.132828,35.512333,19243600,35.150837
"PFE",2020-10-23,35.986717,36.318787,35.721062,36.223907,30557900,35.855167
"PFE",2020-10-26,35.92979,36.072105,35.559772,35.97723,33783100,35.611
"PFE",2020-10-27,35.142315,36.166985,34.981026,35.512333,36851500,35.150837
"PFE",2020-10-28,34.914612,35.227703,33.510437,33.633778,33857500,33.291405
"PFE",2020-10-29,33.662239,33.814041,32.827324,33.472485,27545300,33.131752
"PFE",2020-10-30,33.434536,33.709679,33.055027,33.662239,25631100,33.319576
"PFE",2020-11-02,34.089184,34.392788,33.719166,34.373814,21430700,34.023907
"PFE",2020-11-03,34.563568,34.743832,34.231499,34.335865,21636600,33.986343
"PFE",2020-11-04,35.161289,36.166985,35.066414,35.417458,40870500,35.056927
"PFE",2020-11-05,35.341557,35.388996,34.525616,34.525616,33927000,34.525616
"PFE",2020-11-06,34.525616,34.838711,34.240986,34.535103,23870700,34.535103
"PFE",2020-11-09,39.71537,39.838711,36.413662,37.19165,230153900,37.19165
"PFE",2020-11-10,38.377609,38.462997,36.489563,36.698292,80091700,36.698292
"PFE",2020-11-11,36.888046,38.140419,35.958256,36.527515,58981000,36.527515
"PFE",2020-11-12,36.318787,36.375713,35.332069,35.626186,46767900,35.626186
"PFE",2020-11-13,35.92979,36.679317,35.777988,36.641365,40175600,36.641365
"PFE",2020-11-16,35.920303,36.005692,34.962048,35.417458,71660500,35.417458
"PFE",2020-11-17,36.490002,36.5,35.82,36.040001,46984500,36.040001
"PFE",2020-11-18,36.93,37.419998,36.299999,36.32,63442700,36.32
"PFE",2020-11-19,36.599998,36.630001,35.860001,36.189999,43261800,36.189999
"PFE",2020-11-20,36.700001,37.310001,36.439999,36.700001,60029900,36.700001
"PFE",2020-11-23,37.029999,37.09,36.209999,36.52,43673100,36.52
"PFE",2020-11-24,36.130001,36.740002,36.02,36.599998,42485300,36.599998
"PFE",2020-11-25,36.529999,36.560001,36.240002,36.529999,26955800,36.529999
"PFE",2020-11-27,36.779999,37.259998,36.75,37.23,25277000,37.23
"PFE",2020-11-30,37.950001,38.799999,37.599998,38.310001,65425900,38.310001
"BNTX",2020-07-01,77.699997,79.379997,62.299999,64.139999,9879300,64.139999
"BNTX",2020-07-02,68.245003,69.389999,62.73,63.27,3926500,63.27
"BNTX",2020-07-06,65.589996,66.900002,64.330002,65.510002,1649400,65.510002
"BNTX",2020-07-07,64,70.889999,63.509998,69.339996,2264400,69.339996
"BNTX",2020-07-08,67.209999,68.580002,66.459999,67.559998,1449600,67.559998
"BNTX",2020-07-09,66.610001,68,64.510002,65.610001,1186700,65.610001
"BNTX",2020-07-10,67,71.290001,67,70.360001,2874300,70.360001
"BNTX",2020-07-13,78.470001,84.889999,75.75,77.779999,8529600,77.779999
"BNTX",2020-07-14,82.57,85,78,83.879997,4748700,83.879997
"BNTX",2020-07-15,86.080002,87.580002,76.800003,78,3908700,78
"BNTX",2020-07-16,80.5,80.5,74.559998,75.870003,2847900,75.870003
"BNTX",2020-07-17,76.540001,86.400002,76.419998,85.25,5053500,85.25
"BNTX",2020-07-20,91.747002,96.089996,85.769997,88.199997,7790800,88.199997
"BNTX",2020-07-21,92,97.82,90.050003,91.599998,6034500,91.599998
"BNTX",2020-07-22,99.190002,104.989998,93.650002,104.169998,13817800,104.169998
"BNTX",2020-07-23,97.514,101.150002,87,88.510002,15899700,88.510002
"BNTX",2020-07-24,86.300003,86.699997,80.339996,84.169998,7109700,84.169998
"BNTX",2020-07-27,87.440002,88.199997,81.774002,86.529999,5129200,86.529999
"BNTX",2020-07-28,89,90.400002,84.099998,85.379997,5108600,85.379997
"BNTX",2020-07-29,85.540001,86.790001,80.019997,82.5,3846300,82.5
"BNTX",2020-07-30,79.050003,84.879997,78,84.160004,3302800,84.160004
"BNTX",2020-07-31,86,86.949997,80.849998,82.110001,2643000,82.110001
"BNTX",2020-08-03,82.989998,85.480003,81.839996,85.470001,2431700,85.470001
"BNTX",2020-08-04,84.440002,84.5,81.080002,83.169998,2410300,83.169998
"BNTX",2020-08-05,82.82,83.199997,76.845001,81.300003,4084400,81.300003
"BNTX",2020-08-06,79.290001,80.260002,76.580002,77.080002,3175200,77.080002
"BNTX",2020-08-07,77.089996,78.540001,74.029999,77,3038200,77
"BNTX",2020-08-10,77,77.278,70.900002,73.949997,2830600,73.949997
"BNTX",2020-08-11,69,72.879997,66.510002,68.449997,4032200,68.449997
"BNTX",2020-08-12,70.889999,71.160004,66.120003,69.110001,3253600,69.110001
"BNTX",2020-08-13,68.25,71.529999,67.304001,71,2390900,71
"BNTX",2020-08-14,70.93,70.980003,68.019997,68.639999,1862400,68.639999
"BNTX",2020-08-17,69.089996,71.356003,68.809998,70.260002,1948000,70.260002
"BNTX",2020-08-18,69.690002,70.349998,67.059998,67.879997,1905100,67.879997
"BNTX",2020-08-19,67.419998,67.480003,65.010002,65.599998,2326600,65.599998
"BNTX",2020-08-20,66.077003,70.290001,64.080002,66.269997,2932600,66.269997
"BNTX",2020-08-21,71.769997,76.279999,70.339996,73.019997,6290400,73.019997
"BNTX",2020-08-24,76.989998,77.400002,69.75,70.849998,3393900,70.849998
"BNTX",2020-08-25,70.07,70.5,68.209999,70.489998,1576200,70.489998
"BNTX",2020-08-26,70,70,67.050003,67.900002,1711400,67.900002
"BNTX",2020-08-27,68.199997,68.690002,64.790001,65.589996,1980500,65.589996
"BNTX",2020-08-28,65.040001,65.5,63.32,64,1764700,64
"BNTX",2020-08-31,62.82,63.18,60.34,61.25,2217200,61.25
"BNTX",2020-09-01,58.709999,60.529999,56.66,57.810001,3575500,57.810001
"BNTX",2020-09-02,56.009998,63.290001,54.959999,61.990002,3892800,61.990002
"BNTX",2020-09-03,63.450001,63.669998,57.099998,59.279999,2586000,59.279999
"BNTX",2020-09-04,59.279999,59.959999,54.099998,58.57,1985500,58.57
"BNTX",2020-09-08,60.16,61,58.689999,59.830002,2887800,59.830002
"BNTX",2020-09-09,63,63.380001,60.599998,62.32,3406900,62.32
"BNTX",2020-09-10,62,62.279999,60.5,61.200001,1751800,61.200001
"BNTX",2020-09-11,61.452,65.279999,61.049999,65.129997,2515200,65.129997
"BNTX",2020-09-14,67.5,69.650002,66.769997,67.480003,3373600,67.480003
"BNTX",2020-09-15,70,70,66.150002,66.919998,3168300,66.919998
"BNTX",2020-09-16,65.510002,67.290001,65.407997,66.040001,2231500,66.040001
"BNTX",2020-09-17,66.82,68.709999,65.150002,66.779999,2860000,66.779999
"BNTX",2020-09-18,68.010002,68.440002,65.169998,67,2608900,67
"BNTX",2020-09-21,65.559998,66.199997,62.299999,66.120003,2118700,66.120003
"BNTX",2020-09-22,65.379997,67.757004,63.610001,67.050003,1572300,67.050003
"BNTX",2020-09-23,67.25,67.279999,63.686001,63.830002,1678000,63.830002
"BNTX",2020-09-24,62.619999,63.93,58.810001,62.830002,2863400,62.830002
"BNTX",2020-09-25,61.27,66.871002,61.27,66.690002,1670500,66.690002
"BNTX",2020-09-28,66.989998,67.800003,65.720001,66.5,1750000,66.5
"BNTX",2020-09-29,66.599998,67.109001,65.760002,66.860001,847600,66.860001
"BNTX",2020-09-30,67.400002,69.470001,67.098,69.230003,1742700,69.230003
"BNTX",2020-10-01,70,72.870003,69.309998,72.709999,2371700,72.709999
"BNTX",2020-10-02,71.849998,75,71.160004,73.699997,2327800,73.699997
"BNTX",2020-10-05,75.699997,81.559998,75.650002,80.699997,3750600,80.699997
"BNTX",2020-10-06,86.839996,88.300003,83.519997,85.589996,5702100,85.589996
"BNTX",2020-10-07,83.32,86.440002,80.699997,86.230003,2354700,86.230003
"BNTX",2020-10-08,85.830002,89.43,85.599998,87.949997,1826000,87.949997
"BNTX",2020-10-09,88.980003,90,87.5,89.040001,1462500,89.040001
"BNTX",2020-10-12,91,91.900002,87.599998,88.739998,2573100,88.739998
"BNTX",2020-10-13,90.080002,94.015999,89.559998,93,2527500,93
"BNTX",2020-10-14,95.418999,95.440002,85.050003,86.860001,4198000,86.860001
"BNTX",2020-10-15,85.650002,90.418999,85.5,90.379997,2029700,90.379997
"BNTX",2020-10-16,93.599998,94.150002,91.550003,94.089996,2792500,94.089996
"BNTX",2020-10-19,96.230003,97.290001,92.239998,93.919998,2800200,93.919998
"BNTX",2020-10-20,93.919998,96.116997,91.611,94.349998,1872100,94.349998
"BNTX",2020-10-21,92.75,92.940002,85.669998,87.720001,3384600,87.720001
"BNTX",2020-10-22,88.989998,90.120003,85.417,86.360001,2205900,86.360001
"BNTX",2020-10-23,89.605003,89.989998,87.059998,88.690002,2079700,88.690002
"BNTX",2020-10-26,88.220001,89.839996,80.349998,82.93,2879900,82.93
"BNTX",2020-10-27,83,84.055,80.510002,83.949997,2222100,83.949997
"BNTX",2020-10-28,79.889999,80.739998,75.345001,77.540001,2566100,77.540001
"BNTX",2020-10-29,81.489998,85.769997,79.220001,84.809998,2512000,84.809998
"BNTX",2020-10-30,87.010002,88.5,83.050003,85.360001,2253000,85.360001
"BNTX",2020-11-02,87.903999,88,83.18,87.099998,2139900,87.099998
"BNTX",2020-11-03,84.910004,88.199997,84.849998,87.220001,1082600,87.220001
"BNTX",2020-11-04,86.510002,91.128998,86.510002,90.690002,1701500,90.690002
"BNTX",2020-11-05,91.330002,92.839996,89.669998,92,1459800,92
"BNTX",2020-11-06,92,92.199997,90.330002,92,861300,92
"BNTX",2020-11-09,114.019997,115,98.510002,104.800003,14614900,104.800003
"BNTX",2020-11-10,110,113.400002,106.199997,112.760002,8029100,112.760002
"BNTX",2020-11-11,112,112.5,108.612999,109.449997,3274100,109.449997
"BNTX",2020-11-12,106.809998,107.128998,100.5,101.629997,3596500,101.629997
"BNTX",2020-11-13,104.120003,108.199997,103.370003,106,2997500,106
"BNTX",2020-11-16,96.639999,97,87.07,91.519997,11171600,91.519997
"BNTX",2020-11-17,89,92,86.650002,86.93,4057400,86.93
"BNTX",2020-11-18,90.800003,92.459999,88.260002,90.440002,5772600,90.440002
"BNTX",2020-11-19,91.599998,95.089996,91.290001,94.93,3400100,94.93
"BNTX",2020-11-20,100,105.330002,99.050003,104.07,6751700,104.07
"BNTX",2020-11-23,109.730003,109.980003,104.199997,106.5,5194200,106.5
"BNTX",2020-11-24,100.919998,103.43,97.559998,101.870003,3864000,101.870003
"BNTX",2020-11-25,100,106.059998,99.099998,104.959999,3007400,104.959999
"BNTX",2020-11-27,106.440002,111.199997,106.099998,109.989998,3874600,109.989998
"BNTX",2020-11-30,113.639999,124.910004,113.5,124.239998,9934800,124.239998
